api,num
CryptHashData,1
CryptCreateHash,2
NtReadFile,3
GetAsyncKeyState,4
SetFilePointer,5
NtFreeVirtualMemory,6
NtClose,7
NtWriteFile,8
GetFileType,9
NtDelayExecution,10
GetSystemMetrics,11
NtAllocateVirtualMemory,12
WriteConsoleW,13
DeleteFileW,14
NtQueryValueKey,15
GetSystemTimeAsFileTime,16
Process32NextW,17
LdrGetProcedureAddress,18
GetKeyState,19
CryptDecrypt,20
__exception__,21
NtCreateFile,22
FindFirstFileExW,23
GetForegroundWindow,24
GetFileAttributesW,25
NtQueryDirectoryFile,26
SetErrorMode,27
RegQueryValueExW,28
NtOpenFile,29
RegOpenKeyExW,30
RegCloseKey,31
NtQueryKey,32
timeGetTime,33
DrawTextExA,34
LdrLoadDll,35
NtOpenKeyEx,36
GetFileSize,37
FindResourceA,38
NtQueryInformationFile,39
InternetCloseHandle,40
NtDeviceIoControlFile,41
CopyFileExW,42
SetStdHandle,43
LoadStringA,44
Thread32Next,45
FindResourceExW,46
GetFileVersionInfoSizeW,47
ReadProcessMemory,48
LdrGetDllHandle,49
NtDuplicateObject,50
NtMapViewOfSection,51
GetComputerNameW,52
NtOpenDirectoryObject,53
GetTempPathW,54
GetVolumeNameForVolumeMountPointW,55
bind,56
RegEnumValueW,57
GetSystemDirectoryA,58
GetCursorPos,59
FindWindowExA,60
InternetSetOptionA,61
WSARecv,62
RegOpenKeyExA,63
RegQueryValueExA,64
setsockopt,65
InternetOpenA,66
InternetConnectA,67
LoadResource,68
HttpOpenRequestA,69
InternetReadFile,70
NtOpenProcess,71
CopyFileW,72
NtProtectVirtualMemory,73
select,74
closesocket,75
HttpQueryInfoA,76
CoCreateInstance,77
NtOpenKey,78
CryptDecodeObjectEx,79
send,80
ioctlsocket,81
RegEnumKeyW,82
HttpSendRequestA,83
GetAddrInfoW,84
WSASend,85
socket,86
NtCreateSection,87
LdrUnloadDll,88
getsockname,89
GetFileSizeEx,90
NtUnmapViewOfSection,91
LoadStringW,92
SetFilePointerEx,93
DrawTextExW,94
connect,95
FindWindowA,96
RegEnumKeyExA,97
recv,98
CreateThread,99
GetUserNameA,100
RegEnumKeyExW,101
FindWindowExW,102
GetComputerNameA,103
GetSystemInfo,104
SetFileAttributesW,105
shutdown,106
WSAStartup,107
WSASocketW,108
recvfrom,109
NtOpenMutant,110
NtCreateMutant,111
NtSetInformationFile,112
CreateToolhelp32Snapshot,113
CoInitializeEx,114
CoUninitialize,115
Process32FirstW,116
SHGetFolderPathW,117
SearchPathW,118
RegSetValueExA,119
NtCreateKey,120
ObtainUserAgentString,121
NtEnumerateValueKey,122
OutputDebugStringA,123
GetSystemWindowsDirectoryW,124
RegEnumValueA,125
NtEnumerateKey,126
NtQuerySystemInformation,127
RegQueryInfoKeyA,128
RegCreateKeyExA,129
GetDiskFreeSpaceW,130
SetEndOfFile,131
SetWindowsHookExA,132
AssignProcessToJobObject,133
WriteProcessMemory,134
RegCreateKeyExW,135
GetFileAttributesExW,136
RegQueryInfoKeyW,137
SizeofResource,138
NtSetValueKey,139
NtQueryAttributesFile,140
GetAdaptersAddresses,141
NtOpenSection,142
getaddrinfo,143
HttpSendRequestW,144
EnumWindows,145
GetSystemDirectoryW,146
CoGetClassObject,147
FindWindowW,148
NtResumeThread,149
GetShortPathNameW,150
RegisterHotKey,151
Module32NextW,152
CreateActCtxW,153
UnhookWindowsHookEx,154
UuidCreate,155
CreateDirectoryW,156
FindResourceW,157
GetFileInformationByHandleEx,158
GetFileInformationByHandle,159
GlobalMemoryStatus,160
RegSetValueExW,161
CreateProcessInternalW,162
OpenSCManagerA,163
SetFileTime,164
OpenServiceA,165
GetBestInterfaceEx,166
gethostbyname,167
InternetConnectW,168
HttpOpenRequestW,169
NtTerminateProcess,170
GetTimeZoneInformation,171
NtReadVirtualMemory,172
GetVolumePathNamesForVolumeNameW,173
RemoveDirectoryW,174
SHGetSpecialFolderLocation,175
NtWriteVirtualMemory,176
NtSuspendThread,177
CreateJobObjectW,178
InternetQueryOptionA,179
NtOpenThread,180
GlobalMemoryStatusEx,181
OleInitialize,182
SetUnhandledExceptionFilter,183
CertOpenStore,184
NtGetContextThread,185
CopyFileA,186
IWbemServices_ExecQuery,187
GetNativeSystemInfo,188
InternetCrackUrlW,189
WriteConsoleA,190
GetFileVersionInfoW,191
Module32FirstW,192
RegDeleteValueW,193
CertControlStore,194
IsDebuggerPresent,195
CreateDirectoryExW,196
InternetCrackUrlA,197
GetUserNameW,198
CryptAcquireContextW,199
FindFirstFileExA,200
SendNotifyMessageW,201
DeviceIoControl,202
LookupAccountSidW,203
SetFileInformationByHandle,204
CoCreateInstanceEx,205
GetKeyboardState,206
InternetGetConnectedState,207
ShellExecuteExW,208
EnumServicesStatusA,209
LookupPrivilegeValueW,210
CryptAcquireContextA,211
CryptEncrypt,212
NtCreateThreadEx,213
OpenSCManagerW,214
WSAConnect,215
sendto,216
NtQueueApcThread,217
SetWindowsHookExW,218
CryptExportKey,219
OpenServiceW,220
CreateRemoteThread,221
MoveFileWithProgressW,222
InternetOpenUrlA,223
RegDeleteValueA,224
InternetOpenW,225
FindResourceExA,226
InternetSetStatusCallback,227
CoInitializeSecurity,228
GetDiskFreeSpaceExW,229
GetVolumePathNameW,230
RtlAddVectoredContinueHandler,231
NtDeleteValueKey,232
Thread32First,233
NetUserGetInfo,234
NtQueryMultipleValueKey,235
RtlAddVectoredExceptionHandler,236
GetAdaptersInfo,237
CreateServiceA,238
RegDeleteKeyA,239
NtDeleteKey,240
DnsQuery_A,241
ReadCabinetState,242
URLDownloadToFileW,243
RemoveDirectoryA,244
StartServiceA,245
RtlDecompressBuffer,246
listen,247
WSASocketA,248
DeleteUrlCacheEntryW,249
InternetOpenUrlW,250
accept,251
GetSystemWindowsDirectoryA,252
GetUserNameExW,253
DeleteUrlCacheEntryA,254
NtTerminateThread,255
NtQueryFullAttributesFile,256
NetShareEnum,257
MessageBoxTimeoutA,258
RegDeleteKeyW,259
NtSetContextThread,260
InternetWriteFile,261
ControlService,262
WSASendTo,263
GetFileVersionInfoSizeExW,264
GetFileVersionInfoExW,265
NetGetJoinInformation,266
StartServiceW,267
__anomaly__,268
RtlCompressBuffer,269
NtSaveKey,270
SendNotifyMessageA,271
WSARecvFrom,272
CryptUnprotectData,273
ExitWindowsEx,274
SetInformationJobObject,275
CryptGenKey,276
DeleteService,277
CryptProtectMemory,278
CertOpenSystemStoreA,279
InternetGetConnectedStateExA,280
CryptUnprotectMemory,281
GetUserNameExA,282
NtShutdownSystem,283
CreateServiceW,284
IWbemServices_ExecMethod,285
RtlCreateUserThread,286
MessageBoxTimeoutW,287
CreateRemoteThreadEx,288
CertOpenSystemStoreW,289
DnsQuery_W,290
CryptProtectData,291
RtlRemoveVectoredExceptionHandler,292
InternetGetConnectedStateExW,293
NetUserGetLocalGroups,294
NtLoadDriver,295
NtCreateUserProcess,296
EnumServicesStatusW,297
NtLoadKey,298
NotifyBootConfigStatus,299
NtDeleteFile,300
WSAAccept,301
COleScript_Compile,302
ActiveXObjectFncObj_Construct,303
RtlDecompressFragment,304
CertCreateCertificateContext,305
