api,num
ABC,0
ABCPRB,1
ADSIFreeColumn,2
ADSIGetColumn,3
ADSIGetFirstRow,4
ADSIGetNextColumnName,5
ADSIGetNextRow,6
ADSIGetObjectAttributes,7
ADSIGetPreviousRow,8
ADSIModifyRdn,9
ADVANCEDSETUPDIALOG,10
ADsAbandonSearch,11
ADsBuildEnumerator,12
ADsBuildVarArrayInt,13
ADsBuildVarArrayStr,14
ADsCloseSearchHandle,15
ADsCreateAttributeDefinition,16
ADsCreateClassDefinition,17
ADsCreateDSObjectExt,18
ADsDeleteAttributeDefinition,19
ADsDeleteClassDefinition,20
ADsDeleteDSObject,21
ADsEnumAttributes,22
ADsEnumClasses,23
ADsEnumerateNext,24
ADsExecuteSearch,25
ADsFreeColumn,26
ADsFreeEnumerator,27
ADsGetColumn,28
ADsGetFirstRow,29
ADsGetLastError,30
ADsGetNextColumnName,31
ADsGetNextRow,32
ADsGetObject,33
ADsGetObjectAttributes,34
ADsGetPreviousRow,35
ADsHelperGetCurrentRowMessage,36
ADsObject,37
ADsSetLastError,38
ADsSetObjectAttributes,39
ADsSetSearchPreference,40
ADsWriteAttributeDefinition,41
ADsWriteClassDefinition,42
AMGetErrorTextA,43
AMGetErrorTextW,44
ANNO,45
APEGetVersion,46
APEInitialize,47
APEPlayerCallExternalInterface,48
APEPlayerChangeAttributes,49
APEPlayerFromStageHWND,50
APEPlayerLoadComponent,51
APEPlayerLoadSWF,52
APETerminate,53
ASMAtomicXchgU8,54
ASMBitFirstClear,55
ASMNopPause,56
ASN1BERDecBitString,57
ASN1BERDecBitString2,58
ASN1BERDecBool,59
ASN1BERDecCharString,60
ASN1BERDecCheck,61
ASN1BERDecDouble,62
ASN1BERDecEndOfContents,63
ASN1BERDecEoid,64
ASN1BERDecExplicitTag,65
ASN1BERDecGeneralizedTime,66
ASN1BERDecLength,67
ASN1BERDecNotEndOfContents,68
ASN1BERDecNull,69
ASN1BERDecObjectIdentifier,70
ASN1BERDecObjectIdentifier2,71
ASN1BERDecOctetString,72
ASN1BERDecOpenType,73
ASN1BERDecOpenType2,74
ASN1BERDecPeekTag,75
ASN1BERDecS32Val,76
ASN1BERDecSXVal,77
ASN1BERDecSkip,78
ASN1BERDecU32Val,79
ASN1BERDecUTCTime,80
ASN1BERDecZeroChar32String,81
ASN1BERDecZeroCharString,82
ASN1BEREncBitString,83
ASN1BEREncBool,84
ASN1BEREncChar16String,85
ASN1BEREncChar32String,86
ASN1BEREncCharString,87
ASN1BEREncCheck,88
ASN1BEREncEndOfContents,89
ASN1BEREncEoid,90
ASN1BEREncExplicitTag,91
ASN1BEREncFlush,92
ASN1BEREncGeneralizedTime,93
ASN1BEREncLength,94
ASN1BEREncNull,95
ASN1BEREncObjectIdentifier,96
ASN1BEREncOctetString,97
ASN1BEREncOpenType,98
ASN1BEREncRemoveZeroBits,99
ASN1BEREncS32,100
ASN1BEREncSX,101
ASN1BEREncU32,102
ASN1BEREoid2DotVal,103
ASN1CEREncChar32String,104
ASN1CEREncEndBlk,105
ASN1CEREncGeneralizedTime,106
ASN1CEREncMultibyteString,107
ASN1CEREncUTCTime,108
ASN1DecAlloc,109
ASN1DecRealloc,110
ASN1DecSetError,111
ASN1EncSetError,112
ASN1Free,113
ASN1PERDecAlignment,114
ASN1PERDecBit,115
ASN1PERDecBoolean,116
ASN1PERDecChar16String,117
ASN1PERDecExtension,118
ASN1PERDecInteger,119
ASN1PERDecObjectIdentifier,120
ASN1PERDecSimpleChoice,121
ASN1PERDecSimpleChoiceEx,122
ASN1PERDecSkipFragmented,123
ASN1PERDecSkipNormallySmall,124
ASN1PERDecSkipNormallySmallExtensionFragmented,125
ASN1PERDecTableChar16String,126
ASN1PERDecU16Val,127
ASN1PERDecU32Val,128
ASN1PERDecUnsignedInteger,129
ASN1PERDecUnsignedShort,130
ASN1PERDecZeroTableCharStringNoAlloc,131
ASN1PEREncAlignment,132
ASN1PEREncBitVal,133
ASN1PEREncBits,134
ASN1PEREncBoolean,135
ASN1PEREncChar16String,136
ASN1PEREncExtensionBitClear,137
ASN1PEREncInteger,138
ASN1PEREncObjectIdentifier,139
ASN1PEREncSimpleChoice,140
ASN1PEREncSimpleChoiceEx,141
ASN1PEREncTableChar16String,142
ASN1PEREncTableCharString,143
ASN1PEREncUnsignedInteger,144
ASN1PEREncUnsignedShort,145
ASN1PERFreeSeqOf,146
ASN1intx2int32,147
ASN1intx2uint32,148
ASN1intxisuint32,149
ATMAddFontW,150
AVIBuildFilter,151
AVIBuildFilterA,152
AVIClearClipboard,153
AVIFileAddRef,154
AVIFileCreateStream,155
AVIFileCreateStreamA,156
AVIFileExit,157
AVIFileGetStream,158
AVIFileInfoA,159
AVIFileInfoW,160
AVIFileInit,161
AVIFileOpenA,162
AVIFileOpenW,163
AVIFileReadData,164
AVIFileRelease,165
AVIGetFromClipboard,166
AVIMakeCompressedStream,167
AVIMakeFileFromStreams,168
AVIPutFileOnClipboard,169
AVISaveOptionsFree,170
AVIStreamBeginStreaming,171
AVIStreamCreate,172
AVIStreamGetFrame,173
AVIStreamGetFrameClose,174
AVIStreamGetFrameOpen,175
AVIStreamInfoA,176
AVIStreamInfoW,177
AVIStreamLength,178
AVIStreamRead,179
AVIStreamReadFormat,180
AVIStreamRelease,181
AVIStreamSampleToTime,182
AVIStreamSetFormat,183
AVIStreamStart,184
AVIStreamWrite,185
AbilGestioneInterna,186
AbortDoc,187
AbortPath,188
AbortPrinter,189
AbortSystemShutdownA,190
AbortSystemShutdownW,191
AboutDialogProc,192
AccTreeResetNamedSecurityInfo,193
AcceptEx,194
AcceptSecurityContext,195
AccessCheck,196
AccessCheckAndAuditAlarmA,197
AccessCheckAndAuditAlarmW,198
AccessCheckByType,199
AccessCheckByTypeAndAuditAlarmA,200
AccessCheckByTypeResultListAndAuditAlarmA,201
AccessCheckByTypeResultListAndAuditAlarmByHandleA,202
AccessCheckByTypeResultListAndAuditAlarmW,203
AccessibleChildren,204
AccessibleObjectFromEvent,205
AccessibleObjectFromPoint,206
AccessibleObjectFromWindow,207
AcquireCredentialsHandleA,208
AcquireCredentialsHandleW,209
AcquireSRWLockExclusive,210
AcquireSRWLockShared,211
ActionDbDeleteAction,212
ActionDbInvokeContainer,213
ActionDbRegisterAction,214
ActivateActCtx,215
ActivateKeyboardLayout,216
AdbCloseHandle,217
AdbCreateConnectDevice,218
AdbCreateInterfaceByName,219
AdbCreateServer,220
AdbEnumInterfaces,221
AdbExeAdbShell,222
AdbExecAdbCommand,223
AdbGetEndpointInformation,224
AdbGetInterfaceName,225
AdbGetSerialNumber,226
AdbGetUsbDeviceDescriptor,227
AdbGetUsbInterfaceDescriptor,228
AdbNextInterface,229
AdbOpenDefaultBulkReadEndpoint,230
AdbOpenDefaultBulkWriteEndpoint,231
AdbReadEndpointSync,232
